rank (ns),nc9619 (ns),h19 (ns),hm19 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6019 cited9619 (ns),np cited9619 (ns)
2912409.9744214374,447.5956151035323,8.762484774665042,3.494447001455542,0.7521315468940317,9.923873325213155,7.146772228989038,135.49634591961023,12.7326431181486,237.36358099878197,1.7527417672137637,385.6461632155907,1.100687521278928,20.854445797807553,20.855054811205846
2958419.6246076585,469.1883239171375,8.655367231638419,3.4463605088832394,0.8355304456999372,12.293157564344005,6.869428750784683,119.984934086629,12.667922159447583,219.46139359698682,1.7416739832479597,394.7558066541117,1.116307602858757,21.019460138104208,21.020087884494664
3055879.800302572,1127.1707009581442,10.75642965204236,3.1788249496807865,0.6580937972768532,18.036560766515382,6.074886535552194,198.35526979324257,12.020171457387796,395.10136157337365,1.742984687561523,932.0814422592032,1.102725099241049,24.869641956631366,24.880484114977307
3309698.937219731,358.32511210762334,6.520179372197309,3.1794860804730942,2.5560538116591927,32.62107623318386,8.674887892376681,140.73094170403587,14.434977578475337,226.75112107623318,1.654788458618834,291.5896860986547,1.1030005930672646,15.504484304932735,15.504484304932735
2830064.117647059,750.3874110153615,10.10378418883477,3.941189131451855,0.8029224428624954,12.827650805545147,8.231547396028475,198.74409891345073,16.360059947545896,393.4795803671787,1.807080601665043,599.4795803671788,1.1331711071618582,28.005620082427875,28.007493443237166
3458660.6526586623,836.7670398122235,9.877674460594024,3.0730817772943935,0.9062923174144624,9.722081791098672,7.672068249526045,153.52776022388733,14.146880924438024,285.36765369684935,1.6190150623097859,718.8467996750022,1.0639266524707052,27.5628780355692,27.56793355601697
3314784.3732718895,156.85714285714286,4.663594470046083,3.491568480732719,7.142857142857143,64.66820276497695,10.267281105990783,110.44239631336406,13.101382488479263,138.8294930875576,1.65393430640553,136.91244239631337,1.0776533911152073,9.963133640552995,9.963133640552995
2964633.5530451867,578.0751473477407,9.170923379174853,3.6474634497077605,1.1473477406679764,13.637524557956779,7.893418467583497,144.0024557956778,14.582023575638507,278.4513752455796,1.763249130502947,474.13801571709234,1.1195396770663064,23.902259332023576,23.903241650294696
2728709.587801279,388.413674372848,7.146089522872602,4.159059355136251,3.2115100836202655,47.80275454992622,9.903098868666994,182.35710772257747,16.383669454008853,303.05263157894734,1.8464792403836694,330.0516478111166,1.0805465017983276,16.625184456468272,16.626660108214462
3244286.589280337,644.190906353508,8.492020475760313,3.536258345324601,1.119241192411924,23.008431195423064,8.975308641975309,165.5516410719663,17.880457693465825,364.21529659741043,1.6824801176196928,521.1367058115026,1.1089647858879856,24.149051490514903,24.167720566094548
3246632.657226343,512.7738817711845,7.859968532254439,3.882596774352214,2.1728478309732524,25.550236008091705,11.127219599910092,164.14497639919082,23.100247246572263,345.61519442571364,1.6996794211036188,416.06540795684424,1.1188597827806248,24.668464823555855,24.668689593167002
3706295.120786517,124.36235955056179,4.314606741573034,2.791804731047753,6.0,29.02247191011236,8.407303370786517,52.97752808988764,10.820224719101123,77.78089887640449,1.5018271045,103.49719101123596,1.0989405751179775,9.629213483146067,9.637640449438202
3630178.0175211835,415.8865431566853,6.66379434151946,3.2037794957858683,1.282349561970415,16.36220020106276,10.0430848772081,127.39408301019675,20.533821628608358,257.00933505672845,1.5592214893201206,358.8134424816889,1.0802222397242567,23.377854373115035,23.3787160706592
3185348.4345238097,333.51984126984127,6.408730158730159,3.9773348518630955,5.2271825396825395,47.72519841269841,13.646825396825397,142.18849206349208,23.091269841269842,260.703373015873,1.708851782046627,258.9265873015873,1.2168968618978175,20.296626984126984,20.30654761904762
3472794.44,182.56,3.82,3.04585703503,10.07,40.87,11.51,57.78,13.13,86.03,1.57264253822,168.35,1.09577714548,8.49,8.49
3036978.7331159757,1806.0919888216115,12.429203539823009,3.8849507598479276,2.155798789007918,29.09012575687005,11.091755938518864,187.52748020493712,20.8884489986027,367.4455053563111,1.7711371650435492,1165.795062878435,1.2164587403975313,60.39520260829064,60.40475081509082
3062478.613672496,554.510333863275,7.717011128775835,3.5393071975961843,2.6454689984101747,37.83783783783784,9.095389507154213,192.13672496025438,14.019077901430842,311.8537360890302,1.7347226937265499,451.39586645469,1.0993579859761526,17.879173290937995,17.899841017488075
3641509.477748691,365.9842931937173,7.140052356020942,2.808955847386126,1.3979057591623036,12.090314136125654,7.019633507853404,107.85602094240838,12.048429319371728,176.11910994764398,1.5509127055170158,328.09031413612564,1.0647792207565445,18.223821989528794,18.226439790575917
3164851.9978181818,188.45018181818182,5.362909090909091,3.4063326337825455,4.816727272727273,43.75636363636364,9.781818181818181,98.91927272727273,14.210181818181818,146.29672727272728,1.6785683521352728,166.26472727272727,1.0671553714785453,12.979636363636363,12.980363636363636
5378928.9655172415,25.689655172413794,2.103448275862069,1.5374242446551725,4.103448275862069,5.310344827586207,6.068965517241379,8.931034482758621,7.551724137931035,15.931034482758621,1.0311690804482758,23.482758620689655,1.0346343312068966,4.862068965517241,4.862068965517241
