,cntry,count,id
0,grc,35116,300
1,usa,9339,840
2,gbr,6165,826
3,deu,2083,276
4,cyp,1688,196
5,aus,1155,036
6,fra,1141,250
7,can,1110,124
8,che,994,756
9,nld,603,528
10,swe,559,752
11,ita,558,380
12,bel,439,056
13,esp,262,724
14,aut,220,040
15,dnk,199,208
16,nor,166,074
17,irl,144,372
18,zaf,137,710
19,fin,88,246
20,are,83,784
21,bra,62,076
22,chn,57,156
23,cze,56,203
24,sau,49,682
25,sgp,46,702
26,isr,43,376
27,lux,42,442
28,rus,41,643
29,jpn,39,392
30,qat,37,634
31,prt,37,620
32,tur,27,792
33,pol,27,616
34,nzl,22,554
35,hun,22,348
36,kwt,20,414
37,hkg,19,344
38,kor,18,410
39,chl,18,152
40,kaz,16,398
41,rou,15,642
42,twn,14,158
43,mex,14,484
44,bgr,13,100
45,arg,11,032
46,srb,10,688
47,lbn,9,422
48,mlt,8,470
49,tha,7,764
50,ukr,7,804
51,est,6,233
52,ind,6,356
53,alb,6,008
54,egy,6,818
55,svn,5,705
56,ecu,5,218
57,ltu,4,440
58,idn,4,360
59,bhr,4,048
60,omn,4,512
61,isl,4,352
62,hrv,4,191
63,mkd,4,807
64,svk,3,703
65,tto,2,780
66,cri,2,188
67,cub,2,192
68,vnm,2,704
69,pan,2,591
70,eth,2,231
71,mar,2,504
72,kgz,2,417
73,vir,2,850
74,wsm,2,882
75,irq,2,368
76,mys,1,458
77,moz,1,508
78,bwa,1,072
79,khm,1,116
80,lva,1,428
81,lso,1,426
82,aze,1,031
83,civ,1,384
84,sle,1,694
85,mac,1,446
86,nga,1,566
87,geo,1,268
88,dza,1,012
89,lie,1,438
90,brn,1,096
91,arm,1,051
92,png,1,598
93,sen,1,686
94,grd,1,308
95,cmr,1,120
96,mco,1,492
97,irn,1,364
98,brb,1,052
99,yug,1, 
100,kna,1,659
101,ven,1,862
102,ury,1,858
103,col,1,170
104,syc,1,690
105,uga,1,800
106,per,1,604
107,rom,1, 
